Region,Soil_Type,Clay,Sand,Silt
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
Kogi,sandy,182.0192478312815,620.8255934756636,181.0027562204561
